,WHO_REGION,TOTAL_VACCINATIONS,FIRST_VACCINE_DATE,PERSONS_BOOSTER_ADD_DOSE
1,EURO,3011499.0,1/13/2021,371665.0
2,AFRO,15267442.0,1/30/2021,575651.0
3,WPRO,111316.0,12/21/2020,24160.0
4,EURO,154367.0,1/20/2021,42981.0
5,AFRO,23173235.0,3/10/2021,1127156.0
6,AMRO,24434.0,2/5/2021,2998.0
7,AMRO,136512.0,3/1/2021,9838.0
8,AMRO,109652736.0,12/29/2020,30810184.0
9,EURO,2150112.0,6/16/2021,40725.0
11,WPRO,63966167.0,2/21/2021,14268128.0
12,EURO,19950484.0,12/30/2020,5380078.0
13,EURO,13776634.0,1/20/2021,3485877.0
14,AMRO,363832.0,3/14/2021,33460.0
15,EMRO,3474920.0,11/4/2020,1007343.0
16,SEARO,328860835.0,1/27/2021,58515144.0
17,AMRO,380826.0,1/8/2021,62170.0
18,EURO,16326173.0,2/3/2021,3632876.0
19,EURO,28945757.0,12/30/2020,7234744.0
20,AMRO,501356.0,3/1/2021,51020.0
22,AMRO,132042.0,1/11/2021,31829.0
23,SEARO,2011426.0,3/27/2021,634641.0
24,AMRO,15468917.0,1/30/2021,2310489.0
28,AFRO,2891400.0,3/26/2021,498312.0
29,AMRO,488462660.0,1/17/2021,104958908.0
30,AMRO,41453.0,2/11/2021,3726.0
31,WPRO,1282008.0,4/3/2021,338532.0
32,EURO,4588661.0,12/30/2020,820422.0
34,AFRO,26314.0,10/18/2021,54.0
35,AFRO,859940.0,3/18/2021,749.0
36,WPRO,44743484.0,2/10/2021,10322948.0
37,AFRO,1924807.0,4/12/2021,65518.0
38,AMRO,90771033.0,12/14/2020,19407744.0
39,AMRO,149370.0,1/15/2021,24064.0
40,AFRO,1818587.0,3/19/2021,214090.0
42,AMRO,62514268.0,12/21/2020,15686364.0
43,WPRO,3461948727.0,7/22/2020,803386178.0
44,AMRO,89419840.0,2/17/2021,14383523.0
47,WPRO,39612.0,5/17/2021,9916.0
48,AMRO,12320607.0,12/24/2020,2684074.0
49,AFRO,20588390.0,3/1/2021,1243021.0
